prompt_id,report_id,overall_score,accuracy,formality,faithfulness,clarity,succinctness,relevance,evidence_reliability,decision_usability,institutional_communication,unsupported_claim_risk,weak_grounding_risk,risk_penalty,custom_total_score
A,1,4.17,5,5,4,4,3,4,4.5,3.6666666666666665,5,0,0,0,4.308333333333334
A,2,4.33,5,5,5,4,3,4,5.0,3.6666666666666665,5,0,0,0,4.533333333333333
A,3,4.0,4,5,4,3,3,4,4.0,3.3333333333333335,5,0,0,0,3.966666666666667
A,4,4.17,5,4,4,4,3,4,4.5,3.6666666666666665,4,0,0,0,4.108333333333333
A,5,4.33,5,5,5,4,3,4,5.0,3.6666666666666665,5,0,0,0,4.533333333333333
A,6,4.0,4,5,4,3,3,4,4.0,3.3333333333333335,5,0,0,0,3.966666666666667
A,7,4.17,5,5,4,4,2,4,4.5,3.3333333333333335,5,0,0,0,4.191666666666666
A,8,4.33,5,5,5,4,3,4,5.0,3.6666666666666665,5,0,0,0,4.533333333333333
A,9,4.0,4,5,4,3,3,4,4.0,3.3333333333333335,5,0,0,0,3.966666666666667
A,10,4.17,5,4,4,4,3,4,4.5,3.6666666666666665,4,0,0,0,4.108333333333333
A,11,4.33,5,5,5,4,3,4,5.0,3.6666666666666665,5,0,0,0,4.533333333333333
A,12,4.0,4,5,4,3,3,4,4.0,3.3333333333333335,5,0,0,0,3.966666666666667
A,13,4.17,5,5,4,4,3,4,4.5,3.6666666666666665,5,0,0,0,4.308333333333334
A,14,4.33,5,5,5,4,3,4,5.0,3.6666666666666665,5,0,0,0,4.533333333333333
A,15,4.0,4,5,4,3,3,4,4.0,3.3333333333333335,5,0,0,0,3.966666666666667
A,16,4.17,5,4,4,4,3,4,4.5,3.6666666666666665,4,0,0,0,4.108333333333333
A,17,4.33,5,5,5,4,3,4,5.0,3.6666666666666665,5,0,0,0,4.533333333333333
A,18,4.0,4,5,4,3,3,4,4.0,3.3333333333333335,5,0,0,0,3.966666666666667
A,19,4.17,5,5,4,4,2,4,4.5,3.3333333333333335,5,0,0,0,4.191666666666666
A,20,4.33,5,5,5,4,3,4,5.0,3.6666666666666665,5,0,0,0,4.533333333333333
A,21,4.0,4,5,4,3,3,4,4.0,3.3333333333333335,5,0,0,0,3.966666666666667
A,22,4.17,5,4,4,4,3,4,4.5,3.6666666666666665,4,0,0,0,4.108333333333333
A,23,4.33,5,5,5,4,3,4,5.0,3.6666666666666665,5,0,0,0,4.533333333333333
A,24,4.0,4,5,4,3,3,4,4.0,3.3333333333333335,5,0,0,0,3.966666666666667
A,25,4.17,5,5,4,4,3,4,4.5,3.6666666666666665,5,0,0,0,4.308333333333334
A,26,4.33,5,5,5,4,3,4,5.0,3.6666666666666665,5,0,0,0,4.533333333333333
A,27,4.0,4,5,4,3,3,4,4.0,3.3333333333333335,5,0,0,0,3.966666666666667
A,28,4.17,5,4,4,4,3,4,4.5,3.6666666666666665,4,0,0,0,4.108333333333333
A,29,4.33,5,5,5,4,3,4,5.0,3.6666666666666665,5,0,0,0,4.533333333333333
A,30,4.0,4,5,4,3,3,4,4.0,3.3333333333333335,5,0,0,0,3.966666666666667
B,1,3.67,4,3,4,4,5,3,4.0,4.0,3,0,0,0,3.8000000000000003
B,2,3.83,4,3,4,4,5,4,4.0,4.333333333333333,3,0,0,0,3.9166666666666665
B,3,3.5,3,3,4,3,5,3,3.5,3.6666666666666665,3,1,0,1,3.0583333333333336
B,4,3.67,4,2,4,4,5,3,4.0,4.0,2,0,0,0,3.6
B,5,3.83,4,3,4,4,5,4,4.0,4.333333333333333,3,0,0,0,3.9166666666666665
B,6,3.5,3,3,4,3,5,3,3.5,3.6666666666666665,3,1,0,1,3.0583333333333336
B,7,3.67,4,3,4,4,5,3,4.0,4.0,3,0,0,0,3.8000000000000003
B,8,3.83,4,3,4,4,5,4,4.0,4.333333333333333,3,0,0,0,3.9166666666666665
B,9,3.5,3,3,4,3,5,3,3.5,3.6666666666666665,3,1,0,1,3.0583333333333336
B,10,3.67,4,2,4,4,5,3,4.0,4.0,2,0,0,0,3.6
B,11,3.83,4,3,4,4,5,4,4.0,4.333333333333333,3,0,0,0,3.9166666666666665
B,12,3.5,3,3,4,3,5,3,3.5,3.6666666666666665,3,1,0,1,3.0583333333333336
B,13,3.67,4,3,4,4,5,3,4.0,4.0,3,0,0,0,3.8000000000000003
B,14,3.83,4,3,4,4,5,4,4.0,4.333333333333333,3,0,0,0,3.9166666666666665
B,15,3.5,3,3,4,3,5,3,3.5,3.6666666666666665,3,1,0,1,3.0583333333333336
B,16,3.67,4,2,4,4,5,3,4.0,4.0,2,0,0,0,3.6
B,17,3.83,4,3,4,4,5,4,4.0,4.333333333333333,3,0,0,0,3.9166666666666665
B,18,3.5,3,3,4,3,5,3,3.5,3.6666666666666665,3,1,0,1,3.0583333333333336
B,19,3.67,4,3,4,4,5,3,4.0,4.0,3,0,0,0,3.8000000000000003
